status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Polarimeter Research Scientist,"Analytical Mechanics Associates, Inc.","Hampton, VA",2025-03-05,This position is an excellent opportunity for an early-career scientist with a strong analytical background coupled with computer programming and machine learning expertise.,"Job types: Full-time
Benefits: Paid holidays
 Disability insurance
 Health insurance
 Dental insurance
 Tuition reimbursement
 Vision insurance
 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=e14e259075f6550c,IndeedScraperUSAEng_e14e259075f6550c,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,Machine Learning Engineer,WILLIAM C BROWN INC (WCBinc),"Springfield, VA 22150",2025-02-07,Rapidly prototype containerized multimodal deep learning solutions and associated data pipelines to enable GeoAI capabilities for improving analytic workflows and addressing key intelligence questions…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7a360b0e33b0ed0c,IndeedScraperUSAEng_7a360b0e33b0ed0c,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,Machine Learning Engineer,Steampunk,"McLean, VA 22102",2025-02-12,"Design and train advanced machine learning models, especially generative models like GANs, VAEs, or transformer-based models. They are looking to become a facts-based, data-driven, customer-focused…",Remote: Remote,https://www.indeed.com/m/viewjob?jk=8e8df739fa08771b,IndeedScraperUSAEng_8e8df739fa08771b,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$125000 - $160000 yearly,FULLY_REMOTE
NEW,SHIFT REFUELING ENGINEER 5,HII,"Newport News, VA 23605",2025-02-07,"Relocation: No relocation assistance available. Travel Requirement: Yes, up to 10% of the time. This position reviews all required technical documents and coordinates fueling/refueling operations on…","Job types: Full-time
Benefits: Health insurance
 Dental insurance
 Tuition reimbursement
 Employee assistance program
 Vision insurance
 Employee discount
 Life insurance
Job types cc: Full-time
Schedules: Weekends as needed",https://www.indeed.com/m/viewjob?jk=fe35cfc6b755c0fb,IndeedScraperUSAEng_fe35cfc6b755c0fb,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,Data Engineer,Booz Allen,"Arlington, VA",2025-02-28,You’ll develop and deploy the pipelines and platforms that organize and make disparate data meaningful. You’ll sharpen your skills in analytical exploration and data examination while you support the…,"Job types: Full-time
Benefits: Health insurance
 Flexible spending account
 Tuition reimbursement
 Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9aeb38c9c664cf29,IndeedScraperUSAEng_9aeb38c9c664cf29,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$60400 - $137000 yearly,UNKNOWN
NEW,Machine Learning (ML) Engineer (Research / Statistical),Orbis,"Arlington, VA",2025-02-08,"Architect, design and develop machine learning prediction models to address business challenges, adhering to INDG best practices with integration of AWS services.",,https://www.indeed.com/m/viewjob?jk=2b8f9059f6289654,IndeedScraperUSAEng_2b8f9059f6289654,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,"Machine Learning Engineer, BADS",Amazon.com Services LLC,"Arlington, VA",2025-02-15,"This is a role that combines engineering knowledge (around machine learning, natural language processing, computer vision), technical strength, and product focus. Medical, Dental, and Vision Coverage.","Job types: Full-time
Benefits: Health insurance
 Dental insurance
 Paid time off
 Parental leave
 Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4180fc614c2a9dcd,IndeedScraperUSAEng_4180fc614c2a9dcd,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,Aegis SI&T Site Program Manager - 20702,HII,"Norfolk, VA",2025-02-07,Employment Type: Full Time/Salaried/Exempt. We are seeking a Ship Integration &Test (SI&T) Site Program Manager joining our team to support the Program Executive Office for Integrated Warfare Systems …,"Job types: Full-time
Benefits: Paid holidays
 Health insurance
 Dental insurance
 Tuition reimbursement
 Paid time off
 Employee assistance program
 Vision insurance
 Employee discount
 Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=26505049c7598bb9,IndeedScraperUSAEng_26505049c7598bb9,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$131000 - $268000 yearly,UNKNOWN
NEW,Machine Learning Engineer,Booz Allen,"Arlington, VA",2025-02-28,"As an experienced engineer, you know that machine learning is critical to understanding and processing massive datasets. As a machine learning engineer on our Army team, you’ll train, test, deploy,…","Job types: Full-time
Benefits: Health insurance
 Flexible spending account
 Tuition reimbursement
 Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=c7c98f4405097356,IndeedScraperUSAEng_c7c98f4405097356,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$96600 - $220000 yearly,UNKNOWN
NEW,Computer Vision Engineer,Dedrone,"Sterling, VA 20166",2025-02-22,"Strong background in theoretical foundations of machine learning and deep learning. Leveraging cutting-edge camera systems and machine learning algorithms, you will help us detect, track, and classify…","Benefits: Paid parental leave
 Health insurance
 Dental insurance
 Paid time off
 Parental leave
 Vision insurance
 401(k) matching",https://www.indeed.com/m/viewjob?jk=3c794061cf41748e,IndeedScraperUSAEng_3c794061cf41748e,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,,UNKNOWN
NEW,RF Engineer RESED (Engineer - RF 3) - 21106,HII,"Arlington, VA 22202",2025-02-07,Employment Type: Full Time/Salaried/Exempt. Security Clearance: Ability to Obtain. HII's Mission Technologies is seeking an RF and Spectrum Engineering and Policy professional to provide direct…,"Job types: Full-time
Benefits: Paid holidays
 Health insurance
 Dental insurance
 Tuition reimbursement
 Paid time off
 Employee assistance program
 Vision insurance
 Employee discount
 Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=087fc2d1f22cb72e,IndeedScraperUSAEng_087fc2d1f22cb72e,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$103687 - $140000 yearly,UNKNOWN
NEW,Desktop Engineer,Gridiron IT,"McLean, VA 22103",2025-02-07,"You will join a talented group of professionals who are advising U.S. federal agencies with digital strategy, customer experience, process improvement, technology effectiveness, digital architecture,…","Job types: Full-time
Shifts: 8 hour shift
 Day shift
Benefits: Health savings account
 AD&D insurance
 Disability insurance
 Health insurance
 Dental insurance
 401(k)
 Flexible spending account
 Vision insurance
 Pet insurance
Job types cc: Full-time
Schedules: 8 hour shift
 Day shift
 Monday to Friday",https://www.indeed.com/m/viewjob?jk=41fd3406f4c3cf0d,IndeedScraperUSAEng_41fd3406f4c3cf0d,IndeedScraperUSAEng,machine learning engineer,USA_ENGLISH,$100000 - $186000 yearly,UNKNOWN
